Species,#Training samples,Regularized training gain,Unregularized training gain,Iterations,Training AUC,#Test samples,Test gain,Test AUC,AUC Standard Deviation,#Background points,air2m_1979_02 contribution,air2m_1979_08 contribution,evap_1979_02 contribution,evap_1979_08 contribution,hgt_surface contribution,soill_1979_02 contribution,soill_1979_08 contribution,air2m_1979_02 permutation importance,air2m_1979_08 permutation importance,evap_1979_02 permutation importance,evap_1979_08 permutation importance,hgt_surface permutation importance,soill_1979_02 permutation importance,soill_1979_08 permutation importance,Training gain without air2m_1979_02,Training gain without air2m_1979_08,Training gain without evap_1979_02,Training gain without evap_1979_08,Training gain without hgt_surface,Training gain without soill_1979_02,Training gain without soill_1979_08,Training gain with only air2m_1979_02,Training gain with only air2m_1979_08,Training gain with only evap_1979_02,Training gain with only evap_1979_08,Training gain with only hgt_surface,Training gain with only soill_1979_02,Training gain with only soill_1979_08,Test gain without air2m_1979_02,Test gain without air2m_1979_08,Test gain without evap_1979_02,Test gain without evap_1979_08,Test gain without hgt_surface,Test gain without soill_1979_02,Test gain without soill_1979_08,Test gain with only air2m_1979_02,Test gain with only air2m_1979_08,Test gain with only evap_1979_02,Test gain with only evap_1979_08,Test gain with only hgt_surface,Test gain with only soill_1979_02,Test gain with only soill_1979_08,AUC without air2m_1979_02,AUC without air2m_1979_08,AUC without evap_1979_02,AUC without evap_1979_08,AUC without hgt_surface,AUC without soill_1979_02,AUC without soill_1979_08,AUC with only air2m_1979_02,AUC with only air2m_1979_08,AUC with only evap_1979_02,AUC with only evap_1979_08,AUC with only hgt_surface,AUC with only soill_1979_02,AUC with only soill_1979_08,Entropy,Prevalence (average of logistic output over background sites),Fixed cumulative value 1 cumulative threshold,Fixed cumulative value 1 logistic threshold,Fixed cumulative value 1 area,Fixed cumulative value 1 training omission,Fixed cumulative value 1 test omission,Fixed cumulative value 1 binomial probability,Fixed cumulative value 5 cumulative threshold,Fixed cumulative value 5 logistic threshold,Fixed cumulative value 5 area,Fixed cumulative value 5 training omission,Fixed cumulative value 5 test omission,Fixed cumulative value 5 binomial probability,Fixed cumulative value 10 cumulative threshold,Fixed cumulative value 10 logistic threshold,Fixed cumulative value 10 area,Fixed cumulative value 10 training omission,Fixed cumulative value 10 test omission,Fixed cumulative value 10 binomial probability,Minimum training presence cumulative threshold,Minimum training presence logistic threshold,Minimum training presence area,Minimum training presence training omission,Minimum training presence test omission,Minimum training presence binomial probability,10 percentile training presence cumulative threshold,10 percentile training presence logistic threshold,10 percentile training presence area,10 percentile training presence training omission,10 percentile training presence test omission,10 percentile training presence binomial probability,Equal training sensitivity and specificity cumulative threshold,Equal training sensitivity and specificity logistic threshold,Equal training sensitivity and specificity area,Equal training sensitivity and specificity training omission,Equal training sensitivity and specificity test omission,Equal training sensitivity and specificity binomial probability,Maximum training sensitivity plus specificity cumulative threshold,Maximum training sensitivity plus specificity logistic threshold,Maximum training sensitivity plus specificity area,Maximum training sensitivity plus specificity training omission,Maximum training sensitivity plus specificity test omission,Maximum training sensitivity plus specificity binomial probability,Equal test sensitivity and specificity cumulative threshold,Equal test sensitivity and specificity logistic threshold,Equal test sensitivity and specificity area,Equal test sensitivity and specificity training omission,Equal test sensitivity and specificity test omission,Equal test sensitivity and specificity binomial probability,Maximum test sensitivity plus specificity cumulative threshold,Maximum test sensitivity plus specificity logistic threshold,Maximum test sensitivity plus specificity area,Maximum test sensitivity plus specificity training omission,Maximum test sensitivity plus specificity test omission,Maximum test sensitivity plus specificity binomial probability,"Balance training omission, predicted area and threshold value cumulative threshold","Balance training omission, predicted area and threshold value logistic threshold","Balance training omission, predicted area and threshold value area","Balance training omission, predicted area and threshold value training omission","Balance training omission, predicted area and threshold value test omission","Balance training omission, predicted area and threshold value binomial probability",Equate entropy of thresholded and original distributions cumulative threshold,Equate entropy of thresholded and original distributions logistic threshold,Equate entropy of thresholded and original distributions area,Equate entropy of thresholded and original distributions training omission,Equate entropy of thresholded and original distributions test omission,Equate entropy of thresholded and original distributions binomial probability
gorlas_0,6,0.5158,0.6724,60,0.8184,2,0.5310,0.7939,0.0180,1144,0.0000,0.0000,0.0000,0.0000,99.9729,0.0271,0.0000,0.0000,0.0000,0.0000,0.0000,93.9483,6.0517,0.0000,0.5158,0.5158,0.5158,0.5158,0.0928,0.5157,0.5158,0.0229,0.0059,0.0487,0.0323,0.5157,0.0000,0.0000,0.5310,0.5310,0.5310,0.5310,0.1924,0.5234,0.5310,0.0085,0.0156,0.1022,0.1119,0.5234,0.0000,0.0000,0.7939,0.7939,0.7939,0.7939,0.6921,0.7469,0.7939,0.5415,0.5188,0.6351,0.5675,0.7469,0.5000,0.5000,6.5265,0.2946,1.0000,0.1327,0.7054,0.0000,0.0000,4.976E-1,5.0000,0.2542,0.5778,0.0000,0.0000,3.338E-1,10.0000,0.2593,0.4913,0.0000,0.0000,2.413E-1,21.6251,0.3895,0.3802,0.0000,0.0000,1.446E-1,21.6251,0.3895,0.3802,0.0000,0.0000,1.446E-1,37.4486,0.4990,0.2657,0.3333,0.0000,7.061E-2,21.6251,0.3895,0.3802,0.0000,0.0000,1.446E-1,43.4454,0.5007,0.2299,0.3333,0.0000,5.285E-2,43.4454,0.5007,0.2299,0.3333,0.0000,5.285E-2,3.7119,0.1362,0.6014,0.0000,0.0000,3.617E-1,3.9828,0.2530,0.5962,0.0000,0.0000,3.554E-1
gorlas_1,6,0.4792,0.6636,80,0.8085,2,0.7090,0.8101,0.0418,1144,0.0000,0.0000,0.0000,3.0244,96.4358,0.5393,0.0005,0.0000,0.0000,0.0000,30.6150,65.5864,3.4821,0.3166,0.4792,0.4792,0.4792,0.4628,0.1728,0.4763,0.4792,0.0071,0.0032,0.0477,0.0953,0.4628,0.0000,0.0000,0.7090,0.7090,0.7090,0.6849,0.3462,0.6885,0.7078,0.0675,0.0228,0.1063,-0.0102,0.6849,0.0000,0.0000,0.8101,0.8101,0.8101,0.8094,0.7445,0.8079,0.8097,0.6263,0.5909,0.6375,0.4226,0.8094,0.5000,0.5000,6.5631,0.3058,1.0000,0.0977,0.7203,0.0000,0.0000,5.188E-1,5.0000,0.2043,0.5935,0.0000,0.0000,3.523E-1,10.0000,0.3083,0.5105,0.0000,0.0000,2.606E-1,19.9797,0.4165,0.4056,0.0000,0.0000,1.645E-1,19.9797,0.4165,0.4056,0.0000,0.0000,1.645E-1,37.6462,0.5081,0.2745,0.3333,0.0000,7.534E-2,19.9797,0.4165,0.4056,0.0000,0.0000,1.645E-1,41.9507,0.5161,0.2491,0.3333,0.0000,6.206E-2,41.9507,0.5161,0.2491,0.3333,0.0000,6.206E-2,4.5673,0.1983,0.6049,0.0000,0.0000,3.659E-1,4.0186,0.1929,0.6189,0.0000,0.0000,3.83E-1
gorlas_2,6,0.4635,0.6099,80,0.8081,2,0.7060,0.8341,0.0450,1144,0.0000,0.0000,0.0000,0.0318,99.8402,0.1279,0.0000,0.0000,0.0000,0.0000,9.5049,83.0310,7.4641,0.0000,0.4634,0.4635,0.4635,0.4633,0.0971,0.4628,0.4635,0.0105,0.0040,0.0459,0.0484,0.4628,0.0000,0.0000,0.7039,0.7060,0.7060,0.6986,0.2835,0.6851,0.7060,0.0515,0.0206,0.1143,0.0764,0.6849,0.0000,0.0000,0.8350,0.8341,0.8341,0.8354,0.7563,0.7832,0.8341,0.6108,0.5671,0.6390,0.4705,0.8094,0.5000,0.5000,6.5788,0.3108,1.0000,0.0875,0.7299,0.0000,0.0000,5.327E-1,5.0000,0.2782,0.5988,0.0000,0.0000,3.585E-1,10.0000,0.2937,0.5219,0.0000,0.0000,2.723E-1,25.3654,0.4153,0.3698,0.0000,0.0000,1.367E-1,25.3654,0.4153,0.3698,0.0000,0.0000,1.367E-1,39.3497,0.5078,0.2710,0.3333,0.0000,7.343E-2,25.3654,0.4153,0.3698,0.0000,0.0000,1.367E-1,46.1450,0.5120,0.2299,0.3333,0.0000,5.285E-2,46.1450,0.5120,0.2299,0.3333,0.0000,5.285E-2,4.9150,0.1790,0.6014,0.0000,0.0000,3.617E-1,3.9878,0.1762,0.6285,0.0000,0.0000,3.95E-1
gorlas_3,6,0.4744,0.6179,80,0.7691,2,0.6612,0.7920,0.0309,1144,0.0000,0.0000,0.0000,2.6485,97.3477,0.0000,0.0038,0.0000,0.0000,0.0000,22.2655,77.7345,0.0000,0.0000,0.4744,0.4744,0.4744,0.4628,0.1308,0.4744,0.4743,0.0000,0.0000,0.0000,0.0939,0.4628,0.0000,0.0000,0.6612,0.6612,0.6612,0.6849,0.3358,0.6612,0.6583,0.0000,0.0000,0.0000,-0.0034,0.6849,0.0000,0.0000,0.7920,0.7920,0.7920,0.8094,0.7238,0.7920,0.7826,0.5000,0.5000,0.5000,0.4329,0.8094,0.5000,0.5000,6.5678,0.3073,1.0000,0.0959,0.7194,0.0000,0.0000,5.175E-1,5.0000,0.1979,0.5918,0.0000,0.0000,3.502E-1,10.0000,0.3054,0.5114,0.0000,0.0000,2.615E-1,18.9407,0.4191,0.4161,0.0000,0.0000,1.731E-1,18.9407,0.4191,0.4161,0.0000,0.0000,1.731E-1,36.3398,0.5160,0.2850,0.3333,0.0000,8.121E-2,18.9407,0.4191,0.4161,0.0000,0.0000,1.731E-1,42.3393,0.5256,0.2500,0.6667,0.0000,6.25E-2,42.3393,0.5256,0.2500,0.6667,0.0000,6.25E-2,5.0615,0.1989,0.5909,0.0000,0.0000,3.492E-1,3.9554,0.1815,0.6206,0.0000,0.0000,3.852E-1
gorlas_4,6,0.6634,0.8039,60,0.8246,2,0.1845,0.6707,0.0545,1144,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.6634,0.6634,0.6634,0.6634,0.1929,0.6634,0.6634,0.0440,0.0163,0.1739,0.0430,0.6634,0.0000,0.0000,0.1845,0.1845,0.1845,0.1845,-0.1474,0.1845,0.1845,-0.0441,-0.0010,-0.2990,0.0838,0.1845,0.0000,0.0000,0.6707,0.6707,0.6707,0.6707,0.5129,0.6707,0.6707,0.5107,0.5074,0.4198,0.4812,0.6707,0.5000,0.5000,6.3789,0.2534,1.0000,0.0593,0.6058,0.0000,0.0000,3.67E-1,5.0000,0.1602,0.5061,0.0000,0.0000,2.562E-1,10.0000,0.3111,0.3872,0.0000,0.5000,6.245E-1,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,21.0515,0.4593,0.3191,0.5000,1.0000,1E0,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,8.6218,0.3111,0.4554,0.0000,0.5000,7.034E-1,6.9355,0.3111,0.4747,0.0000,0.0000,2.253E-1,5.7858,0.1602,0.4878,0.0000,0.0000,2.379E-1,5.1060,0.1602,0.5061,0.0000,0.0000,2.562E-1
gorlas_5,6,0.4650,0.6374,80,0.8020,2,0.7927,0.8636,0.0251,1144,0.0000,0.0000,0.0000,1.8642,97.4271,0.0000,0.7087,0.0000,0.0000,0.0000,6.6667,83.9171,0.0000,9.4162,0.4650,0.4650,0.4650,0.4644,0.1250,0.4650,0.4540,0.0125,0.0109,0.0053,0.0302,0.4526,0.0000,0.0036,0.7927,0.7927,0.7927,0.7720,0.4068,0.7927,0.7747,0.0286,0.0069,0.0918,0.1194,0.7534,0.0000,0.0101,0.8636,0.8636,0.8636,0.8545,0.7649,0.8636,0.8811,0.5717,0.4932,0.7795,0.5970,0.8549,0.5000,0.5887,6.5773,0.3104,1.0000,0.1028,0.7334,0.0000,0.0000,5.379E-1,5.0000,0.2177,0.6023,0.0000,0.0000,3.627E-1,10.0000,0.3109,0.5201,0.0000,0.0000,2.705E-1,25.0868,0.4402,0.3689,0.0000,0.0000,1.361E-1,25.0868,0.4402,0.3689,0.0000,0.0000,1.361E-1,31.0819,0.4640,0.3243,0.3333,0.0000,1.052E-1,25.0868,0.4402,0.3689,0.0000,0.0000,1.361E-1,56.4567,0.5590,0.1705,0.6667,0.0000,2.905E-2,56.4567,0.5590,0.1705,0.6667,0.0000,2.905E-2,4.3901,0.2001,0.6171,0.0000,0.0000,3.809E-1,4.0045,0.1784,0.6276,0.0000,0.0000,3.939E-1
gorlas_6,6,0.5180,0.6958,60,0.8236,2,0.5404,0.7847,0.0128,1144,0.0000,0.0000,0.0000,0.0000,99.4623,0.5377,0.0000,0.0000,0.0000,0.0000,0.0000,93.4346,6.5654,0.0000,0.5180,0.5180,0.5180,0.5180,0.1193,0.5157,0.5180,0.0225,0.0048,0.0960,0.0391,0.5157,0.0000,0.0000,0.5404,0.5404,0.5404,0.5404,0.0613,0.5234,0.5404,0.0098,0.0185,-0.0805,0.0949,0.5234,0.0000,0.0000,0.7847,0.7847,0.7847,0.7847,0.5990,0.7469,0.7847,0.5446,0.5524,0.5236,0.5116,0.7469,0.5000,0.5000,6.5243,0.2941,1.0000,0.1300,0.7072,0.0000,0.0000,5.001E-1,5.0000,0.2503,0.5787,0.0000,0.0000,3.349E-1,10.0000,0.2729,0.4921,0.0000,0.0000,2.422E-1,21.5249,0.3879,0.3785,0.0000,0.0000,1.433E-1,21.5249,0.3879,0.3785,0.0000,0.0000,1.433E-1,36.9201,0.4881,0.2657,0.3333,0.0000,7.061E-2,21.5249,0.3879,0.3785,0.0000,0.0000,1.433E-1,42.8772,0.4955,0.2281,0.3333,0.0000,5.205E-2,42.8772,0.4955,0.2281,0.3333,0.0000,5.205E-2,3.8021,0.1459,0.6014,0.0000,0.0000,3.617E-1,4.1122,0.2457,0.5953,0.0000,0.0000,3.544E-1
gorlas_7,6,0.7366,1.0391,80,0.9006,2,-0.4274,0.5651,0.0367,1144,0.0000,0.0000,22.5479,0.2774,73.3107,3.8641,0.0000,0.0000,0.0000,14.4470,7.1934,71.9488,6.4108,0.0000,0.7366,0.7366,0.6929,0.7343,0.5299,0.7172,0.7366,0.1810,0.0561,0.5000,0.0363,0.6634,0.0014,0.0000,-0.4274,-0.4274,0.0709,-0.4439,-1.3522,-0.4730,-0.4274,-0.5899,-0.1615,-1.4969,0.1011,0.1845,-0.0258,0.0000,0.5651,0.5651,0.6608,0.5621,0.2216,0.5581,0.5651,0.2611,0.3282,0.1995,0.5269,0.6707,0.4069,0.5000,6.3056,0.2361,1.0000,0.0673,0.6713,0.0000,0.0000,4.507E-1,5.0000,0.1651,0.5166,0.0000,0.0000,2.669E-1,10.0000,0.2668,0.4266,0.0000,0.5000,6.712E-1,41.7759,0.4680,0.1731,0.0000,1.0000,1E0,41.7759,0.4680,0.1731,0.0000,1.0000,1E0,42.9173,0.4756,0.1670,0.1667,1.0000,1E0,41.7759,0.4680,0.1731,0.0000,1.0000,1E0,6.3613,0.1864,0.4860,0.0000,0.5000,7.358E-1,6.3613,0.1864,0.4860,0.0000,0.0000,2.362E-1,4.5845,0.1602,0.5271,0.0000,0.0000,2.778E-1,6.7545,0.1969,0.4781,0.0000,0.5000,7.277E-1
gorlas_8,6,0.7366,1.0391,80,0.9006,2,-0.4274,0.5651,0.0367,1144,0.0000,0.0000,22.5479,0.2774,73.3107,3.8641,0.0000,0.0000,0.0000,14.4470,7.1934,71.9488,6.4108,0.0000,0.7366,0.7366,0.6929,0.7343,0.5299,0.7172,0.7366,0.1810,0.0561,0.5000,0.0363,0.6634,0.0014,0.0000,-0.4274,-0.4274,0.0709,-0.4439,-1.3522,-0.4730,-0.4274,-0.5899,-0.1615,-1.4969,0.1011,0.1845,-0.0258,0.0000,0.5651,0.5651,0.6608,0.5621,0.2216,0.5581,0.5651,0.2611,0.3282,0.1995,0.5269,0.6707,0.4069,0.5000,6.3056,0.2361,1.0000,0.0673,0.6713,0.0000,0.0000,4.507E-1,5.0000,0.1651,0.5166,0.0000,0.0000,2.669E-1,10.0000,0.2668,0.4266,0.0000,0.5000,6.712E-1,41.7759,0.4680,0.1731,0.0000,1.0000,1E0,41.7759,0.4680,0.1731,0.0000,1.0000,1E0,42.9173,0.4756,0.1670,0.1667,1.0000,1E0,41.7759,0.4680,0.1731,0.0000,1.0000,1E0,6.3613,0.1864,0.4860,0.0000,0.5000,7.358E-1,6.3613,0.1864,0.4860,0.0000,0.0000,2.362E-1,4.5845,0.1602,0.5271,0.0000,0.0000,2.778E-1,6.7545,0.1969,0.4781,0.0000,0.5000,7.277E-1
gorlas_9,6,0.6241,0.9111,100,0.8679,2,0.3346,0.7301,0.1078,1144,0.0000,0.6848,0.0000,1.6926,90.2974,6.9595,0.3657,0.0000,9.8633,0.0000,16.9503,63.0022,9.4727,0.7115,0.6241,0.6175,0.6241,0.6125,0.3776,0.6026,0.6233,0.1405,0.0761,0.2554,0.0339,0.5737,0.0037,0.0120,0.3345,0.4556,0.3346,0.3864,-0.5204,0.5084,0.3063,-0.4356,-0.2370,-0.6190,0.1099,0.5773,-0.0483,-0.0242,0.7301,0.7629,0.7301,0.7389,0.4552,0.7520,0.7170,0.2913,0.3027,0.3440,0.5564,0.7786,0.3726,0.5002,6.4182,0.2646,1.0000,0.0873,0.6941,0.0000,0.0000,4.817E-1,5.0000,0.1992,0.5533,0.0000,0.0000,3.062E-1,10.0000,0.3019,0.4677,0.0000,0.0000,2.187E-1,30.1148,0.4282,0.2762,0.0000,0.5000,4.761E-1,30.1148,0.4282,0.2762,0.0000,0.5000,4.761E-1,33.4732,0.4409,0.2535,0.3333,0.5000,4.427E-1,30.1148,0.4282,0.2762,0.0000,0.5000,4.761E-1,14.0021,0.3222,0.4213,0.0000,0.5000,6.651E-1,13.8474,0.3210,0.4231,0.0000,0.0000,1.79E-1,3.3576,0.1762,0.5918,0.0000,0.0000,3.502E-1,5.9095,0.2061,0.5350,0.0000,0.0000,2.862E-1
gorlas_10,6,0.4650,0.6374,80,0.8020,2,0.7927,0.8636,0.0251,1144,0.0000,0.0000,0.0000,1.8642,97.4271,0.0000,0.7087,0.0000,0.0000,0.0000,6.6667,83.9171,0.0000,9.4162,0.4650,0.4650,0.4650,0.4644,0.1250,0.4650,0.4540,0.0125,0.0109,0.0053,0.0302,0.4526,0.0000,0.0036,0.7927,0.7927,0.7927,0.7720,0.4068,0.7927,0.7747,0.0286,0.0069,0.0918,0.1194,0.7534,0.0000,0.0101,0.8636,0.8636,0.8636,0.8545,0.7649,0.8636,0.8811,0.5717,0.4932,0.7795,0.5970,0.8549,0.5000,0.5887,6.5773,0.3104,1.0000,0.1028,0.7334,0.0000,0.0000,5.379E-1,5.0000,0.2177,0.6023,0.0000,0.0000,3.627E-1,10.0000,0.3109,0.5201,0.0000,0.0000,2.705E-1,25.0868,0.4402,0.3689,0.0000,0.0000,1.361E-1,25.0868,0.4402,0.3689,0.0000,0.0000,1.361E-1,31.0819,0.4640,0.3243,0.3333,0.0000,1.052E-1,25.0868,0.4402,0.3689,0.0000,0.0000,1.361E-1,56.4567,0.5590,0.1705,0.6667,0.0000,2.905E-2,56.4567,0.5590,0.1705,0.6667,0.0000,2.905E-2,4.3901,0.2001,0.6171,0.0000,0.0000,3.809E-1,4.0045,0.1784,0.6276,0.0000,0.0000,3.939E-1
gorlas_11,6,0.6051,0.9198,80,0.8826,2,0.4175,0.7452,0.0959,1144,0.0000,0.0000,0.0000,2.6479,84.0071,0.0000,13.3450,0.0000,0.0000,0.0000,24.0103,55.6443,0.0000,20.3454,0.6051,0.6051,0.6051,0.5776,0.2623,0.6051,0.5325,0.0000,0.0000,0.0003,0.0369,0.5157,0.0000,0.0401,0.4175,0.4175,0.4175,0.4043,0.0410,0.4175,0.5334,0.0000,0.0000,0.0285,0.1028,0.5234,0.0000,-0.1008,0.7452,0.7452,0.7452,0.7378,0.5857,0.7452,0.7749,0.5000,0.5000,0.8293,0.5363,0.7469,0.5000,0.4152,6.4372,0.2699,1.0000,0.0838,0.7045,0.0000,0.0000,4.964E-1,5.0000,0.1945,0.5603,0.0000,0.0000,3.14E-1,10.0000,0.2856,0.4773,0.0000,0.0000,2.278E-1,31.6603,0.4319,0.2710,0.0000,0.5000,4.685E-1,31.6603,0.4319,0.2710,0.0000,0.5000,4.685E-1,48.7408,0.5243,0.1661,0.1667,0.5000,3.046E-1,31.6603,0.4319,0.2710,0.0000,0.5000,4.685E-1,17.3651,0.3472,0.3907,0.0000,0.5000,6.288E-1,17.3651,0.3472,0.3907,0.0000,0.0000,1.527E-1,4.2903,0.1785,0.5778,0.0000,0.0000,3.338E-1,5.7241,0.2104,0.5455,0.0000,0.0000,2.975E-1
gorlas_12,6,0.4859,0.6764,80,0.8097,2,0.6661,0.7955,0.0192,1144,0.0000,0.0000,0.0000,4.5346,95.0252,0.0000,0.4402,0.0000,0.0000,0.0000,34.2023,60.0737,0.0000,5.7240,0.4859,0.4859,0.4859,0.4628,0.1659,0.4859,0.4823,0.0000,0.0000,0.0000,0.1101,0.4628,0.0000,0.0000,0.6661,0.6661,0.6661,0.6849,0.2609,0.6661,0.6107,0.0000,0.0000,0.0000,-0.0642,0.6849,0.0000,0.0000,0.7955,0.7955,0.7955,0.8094,0.6945,0.7955,0.7684,0.5000,0.5000,0.5000,0.3770,0.8094,0.5000,0.5000,6.5564,0.3037,1.0000,0.0971,0.7159,0.0000,0.0000,5.125E-1,5.0000,0.2032,0.5865,0.0000,0.0000,3.44E-1,10.0000,0.3040,0.5044,0.0000,0.0000,2.544E-1,24.2225,0.4324,0.3671,0.0000,0.0000,1.348E-1,24.2225,0.4324,0.3671,0.0000,0.0000,1.348E-1,34.4126,0.5014,0.2928,0.3333,0.0000,8.575E-2,24.2225,0.4324,0.3671,0.0000,0.0000,1.348E-1,45.3789,0.5309,0.2299,0.3333,0.0000,5.285E-2,45.3789,0.5309,0.2299,0.3333,0.0000,5.285E-2,4.8237,0.1974,0.5909,0.0000,0.0000,3.492E-1,3.9318,0.1825,0.6145,0.0000,0.0000,3.776E-1
gorlas_13,6,0.6634,0.8039,60,0.8246,2,0.1845,0.6707,0.0545,1144,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.6634,0.6634,0.6634,0.6634,0.1929,0.6634,0.6634,0.0440,0.0163,0.1739,0.0430,0.6634,0.0000,0.0000,0.1845,0.1845,0.1845,0.1845,-0.1474,0.1845,0.1845,-0.0441,-0.0010,-0.2990,0.0838,0.1845,0.0000,0.0000,0.6707,0.6707,0.6707,0.6707,0.5129,0.6707,0.6707,0.5107,0.5074,0.4198,0.4812,0.6707,0.5000,0.5000,6.3789,0.2534,1.0000,0.0593,0.6058,0.0000,0.0000,3.67E-1,5.0000,0.1602,0.5061,0.0000,0.0000,2.562E-1,10.0000,0.3111,0.3872,0.0000,0.5000,6.245E-1,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,21.0515,0.4593,0.3191,0.5000,1.0000,1E0,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,8.6218,0.3111,0.4554,0.0000,0.5000,7.034E-1,6.9355,0.3111,0.4747,0.0000,0.0000,2.253E-1,5.7858,0.1602,0.4878,0.0000,0.0000,2.379E-1,5.1060,0.1602,0.5061,0.0000,0.0000,2.562E-1
gorlas_14,6,0.6634,0.8039,60,0.8246,2,0.1845,0.6707,0.0545,1144,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,0.0000,0.6634,0.6634,0.6634,0.6634,0.1929,0.6634,0.6634,0.0440,0.0163,0.1739,0.0430,0.6634,0.0000,0.0000,0.1845,0.1845,0.1845,0.1845,-0.1474,0.1845,0.1845,-0.0441,-0.0010,-0.2990,0.0838,0.1845,0.0000,0.0000,0.6707,0.6707,0.6707,0.6707,0.5129,0.6707,0.6707,0.5107,0.5074,0.4198,0.4812,0.6707,0.5000,0.5000,6.3789,0.2534,1.0000,0.0593,0.6058,0.0000,0.0000,3.67E-1,5.0000,0.1602,0.5061,0.0000,0.0000,2.562E-1,10.0000,0.3111,0.3872,0.0000,0.5000,6.245E-1,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,21.0515,0.4593,0.3191,0.5000,1.0000,1E0,20.9073,0.4593,0.3199,0.0000,0.5000,5.375E-1,8.6218,0.3111,0.4554,0.0000,0.5000,7.034E-1,6.9355,0.3111,0.4747,0.0000,0.0000,2.253E-1,5.7858,0.1602,0.4878,0.0000,0.0000,2.379E-1,5.1060,0.1602,0.5061,0.0000,0.0000,2.562E-1
gorlas (average),6.0000,0.5706,0.7688,74.6667,0.8311,2.0000,0.3900,0.7437,0.0439,1144.0000,0.0000,0.0457,3.0064,1.2575,93.5909,1.0613,1.0382,0.0000,0.6576,1.9263,11.0179,80.2791,3.0572,3.0620,0.5706,0.5702,0.5648,0.5642,0.2205,0.5662,0.5640,0.0482,0.0185,0.1351,0.0501,0.5463,0.0004,0.0040,0.3898,0.3981,0.4564,0.3883,-0.0888,0.3911,0.3895,-0.1035,-0.0314,-0.2704,0.0740,0.4878,-0.0067,-0.0070,0.7437,0.7459,0.7564,0.7443,0.5842,0.7350,0.7447,0.4875,0.4798,0.5217,0.5044,0.7547,0.4791,0.5062,6.4717,0.2803,1.0000,0.0887,0.6882,0.0000,0.0000,0.4757,5.0000,0.2019,0.5598,0.0000,0.0000,0.3148,10.0000,0.2947,0.4688,0.0000,0.1667,0.3824,25.9920,0.4343,0.3272,0.0000,0.3000,0.3818,25.9920,0.4343,0.3272,0.0000,0.3000,0.3818,34.3656,0.4828,0.2676,0.3333,0.4000,0.4276,25.9920,0.4343,0.3272,0.0000,0.3000,0.3818,29.6670,0.4116,0.3272,0.2444,0.2333,0.3513,29.3194,0.4115,0.3312,0.2444,0.0000,0.1249,4.6557,0.1741,0.5675,0.0000,0.0000,0.3243,4.8305,0.1920,0.5656,0.0000,0.0667,0.3897
